Date,BAJAJELEC,upper,lower
2018-01-05,567.65,554.93667619178,440.01332380821975
2018-01-08,560.7,568.6447313153388,438.2409829703752
2018-01-09,559.6,579.0064031350864,439.7293111506278
2018-01-10,547.05,584.472849669688,443.5342931874547
2018-01-11,550.25,588.9612593456652,449.2244549400489
2018-01-12,557.4,592.9233964318076,456.81946071104943
2018-01-15,547.45,592.300240759002,467.97118781242654
2018-01-16,549.5,592.2135775557166,477.00070815856895
2018-01-17,538.1,590.4723567819544,484.9919289323311
2018-01-18,529.7,587.8276502681265,492.2080640175878
2018-01-19,530.75,581.469995229281,504.4942904850045
2018-01-22,521.7,572.2431923201508,518.2782362512777
2018-01-23,527.15,572.8318375973889,516.7895909740395
2018-01-24,529.35,573.1789085649782,514.8710914350215
2018-01-25,512.15,570.4438872240681,509.6775413473602
2018-01-29,496.4,571.3529431202394,499.5827711654747
2018-01-30,495.2,569.8078624200618,491.92785186565214
2018-01-31,488.1,570.4997259004788,482.8145598138067
2018-02-01,470.65,571.7337815854113,470.2090755574456
2018-02-02,440.75,574.6842964053,450.59427502327134
2018-02-05,432.45,576.2903414915147,432.55965850848503
2018-02-06,446.8,570.092016733498,424.0865546950733
2018-02-07,489.3,562.7282910889909,424.4788517681517
2018-02-08,510.15,558.9391425291104,425.4751431851749
2018-02-09,537.0,560.5694182741123,424.7377245830303
2018-02-12,514.0,559.1249625520894,425.08218030505316
2018-02-14,513.2,556.2731422166798,425.94114349760554
2018-02-15,499.8,550.645939946191,427.34691719666586
2018-02-16,505.55,549.5091688157964,427.54083118420334
2018-02-19,506.5,550.867534649504,427.62532249335294
2018-02-20,502.5,551.7285842471804,427.80713003853367
2018-02-21,502.85,553.1604485075258,428.48240863533124
2018-02-22,500.35,554.3391719551257,431.54654233058847
2018-02-23,505.6,551.3168723729791,443.83312762702093
2018-02-26,529.1,545.5111797426266,463.4459631145163
2018-02-27,540.1,540.4541009067908,481.8316133789237
2018-02-28,527.55,541.4978096938806,486.25219030611964
2018-03-01,536.95,545.9023592505744,485.6762121779973
2018-03-05,546.55,548.9907888235695,483.9520683192879
2018-03-06,567.95,562.8345057242825,477.8154942757176
2018-03-07,552.8,568.7767346461494,477.53040821099376
2018-03-08,564.75,576.3040431192369,479.2816711664775
2018-03-09,565.8,582.7501468537414,481.4427102891159
2018-03-12,576.55,590.6200609405172,483.57993905948314
2018-03-13,611.7,607.7197176297115,482.0802823702888
2018-03-14,621.3,623.2884041745314,483.4330243968974
